COUNTY,TOTAL_PRESCRIPTIONS,TOTAL_PRESCRIPTION_COST,TOTAL_PRESCRIPTIONS_PREBIRTHING_EVENT,PRESCRIPTION_COST_PREBIRTHING_EVENT,PREBIRTHING_MEDIAN_COST,TOTAL_PRESCRIPTIONS_POSTBIRTHING_EVENT,PRESCRIPTION_COST_POSTBIRTHING_EVENT,POSTBIRTHING_MEDIAN_COST
LAWRENCE    ,12834,853713.06,7795,418973.94,8.56,5039,434739.12,13.77
MADISON     ,32685,2471047.27,15004,924784.58,10.26,17681,1546262.69,13.32
MARION      ,196807,15493652.27,104672,6270700.42,10.58,92135,9222951.85,13
MARSHALL    ,5420,395443.77,2538,136801.27,10.26,2882,258642.5,11.56
MIAMI       ,8243,634101.38,4107,277226.83,9.5,4136,356874.55,11.07
MONROE      ,16360,1185747.94,6946,418381.79,11.04,9414,767366.15,12.48
MONTGOMERY  ,6172,438520.99,3070,231209.9,13.43,3102,207311.09,10.4
MORGAN      ,9725,768392.73,3896,194772.96,10.74,5829,573619.77,14.16
NEWTON      ,2458,134728.94,1010,58819.06,13.05,1448,75909.88,10.26
NOBLE       ,9169,603211.35,4767,295856.44,10.58,4402,307354.91,9.84
ORANGE      ,5245,404773.58,2432,147636.95,10.58,2813,257136.63,12.54
OWEN        ,4399,260131.57,2033,123627.46,10.86,2366,136504.11,14.12
PARKE       ,3133,215823.52,1227,58152.16,10.58,1906,157671.36,11.03
PERRY       ,3823,429510.13,2070,192017.78,17.28,1753,237492.35,16.2
PORTER      ,17412,1110229.98,7894,477561.69,12,9518,632668.29,10.36
POSEY       ,5040,568613.59,2654,267971.6,19.66,2386,300641.99,19.88
PULASKI     ,2203,153014.17,1144,80136.5,11.72,1059,72877.67,15.37
PUTNAM      ,4604,341967.87,1998,119573.64,10.67,2606,222394.23,11.75
RANDOLPH    ,6066,480713.34,3871,240548.39,10.69,2195,240164.95,13.6
RIPLEY      ,3319,165824.76,1447,62389.23,13.95,1872,103435.53,14.17
RUSH        ,2312,161260.3,1204,82060.89,12.57,1108,79199.41,11.5
SCOTT       ,3583,279853.23,1230,69754.03,10.68,2353,210099.2,13.17
SHELBY      ,5770,424627.78,2782,193448.26,11.82,2988,231179.52,12.41
SPENCER     ,2248,102402.22,1069,58124.4,10.61,1179,44277.82,9.92
ST. JOSEPH  ,37594,3186446.7,19182,1454212.92,11.02,18412,1732233.78,10.66
STARKE      ,5491,273558.38,3461,126697.25,8.77,2030,146861.13,9.69
STEUBEN     ,5574,1134561.61,2063,102485.57,10.83,3511,1032076.04,10.3
SULLIVAN    ,5909,464569.09,3150,159902.33,10.68,2759,304666.76,12.88
TIPPECANOE  ,22495,1568165.18,11014,614439.38,11,11481,953725.8,12.26
VANDERBURGH ,77795,8761679.14,42430,4843129.68,15.31,35365,3918549.46,17.56
VERMILLION  ,3163,322104.54,2016,130903.28,9,1147,191201.26,10
VIGO        ,25530,1769313.46,12567,536886.82,8.69,12963,1232426.64,11.87
WABASH      ,4074,262599.14,2150,124959.02,10.99,1924,137640.12,11.99
WARRICK     ,9603,893217.66,4826,470903.77,13.87,4777,422313.89,18.51
WASHINGTON  ,3945,213229.22,2045,108864.81,10.81,1900,104364.41,11.2
WAYNE       ,14092,1063791.56,5712,363708.2,10.58,8380,700083.36,13.43
WELLS       ,2817,174679.84,1644,79471.64,9.22,1173,95208.2,10.67
WHITE       ,2487,206307.85,1241,75204.2,10.58,1246,131103.65,10.18
WHITLEY     ,5483,268156.11,2373,111252.92,9.85,3110,156903.19,10.26
