COUNTY,TOTAL_PRESCRIPTIONS,TOTAL_PRESCRIPTION_COST,TOTAL_PRESCRIPTIONS_PREBIRTHING_EVENT,PRESCRIPTION_COST_PREBIRTHING_EVENT,PREBIRTHING_MEDIAN_COST,TOTAL_PRESCRIPTIONS_POSTBIRTHING_EVENT,PRESCRIPTION_COST_POSTBIRTHING_EVENT,POSTBIRTHING_MEDIAN_COST
TIPPECANOE  ,31512,2383095.7,16629,923336.94,11.63,14883,1459758.76,11
VANDERBURGH ,112984,11914556.75,62358,6482321.12,15.17,50626,5432235.63,17.61
VERMILLION  ,4936,425996.29,2799,174278.39,10.16,2137,251717.9,10.58
VIGO        ,33672,2615174.01,17764,964619.45,9.22,15908,1650554.56,11.23
WABASH      ,3989,268719.65,2426,141005.74,10.7,1563,127713.91,11.96
WARRICK     ,13701,1426838.48,7606,785238.27,16.58,6095,641600.21,17.61
WASHINGTON  ,5828,395372.98,3856,231891.22,10.76,1972,163481.76,13.07
WAYNE       ,15614,1839330.85,6848,967850.37,10.26,8766,871480.48,12.65
WELLS       ,2663,174318.45,1397,73444.02,10.58,1266,100874.43,11.42
WHITE       ,3055,207683.4,1654,79916.55,10.58,1401,127766.85,10.66
WHITLEY     ,5915,329042.39,2793,161784.15,10.26,3122,167258.24,10.51
